ID,Name,Email,Product Title,Price,Quantity
1,Tyler Durden,tyler@durden.com,,,
,,,Jon Snow,39,2
,,,Tommy Vercetti,100,4
2,Bran Stark,bran@stark.com,,,
,,,Cersei Lannister,15,5
3,Severus Snape,severus@snape.com,,,
,,,Daenerys Targaryen,20,1
4,Alex Delarge,alex@delarge.com,,,
,,,Jaime Lannister,34,3
5,Roy Batty,roy@batty.com,,,
,,,Tywin Lannister,59,1
6,Freddy Krueger,freddy@krueger.com,,,
,,,Tyrion Lannister,16,2
7,Carrie White,carrie@white.com,,,
,,,Arya Stark,75,3
8,Keyser Soze,keyser@soze.com,,,
,,,Sansa Stark,89,2
9,Luke Skywalker,luke@skywalker.com,,,
,,,Ned Stark,100,3
10,Tony Montana,tony@montana.com,,,
,,,Barristan Selmy,37,4
